"CÓDIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECCIÓN";"C.P.";"POBLACION";"PROVINCIA";"PAIS"
1003;"ARAHAL";"37.268141";"-5.5484006";"CALLE VIRGEN DE LOS DOLORES. S/N";41600;"Arahal";"Sevilla";"España"
1005;"MARCHENA";"37.3342501";"-5.4254295";"AVENIDA MAESTRO SANTOS RUANO. 8";41620;"Marchena";"Sevilla";"España"
1007;"OSUNA";"37.2337769";"-5.1148398";"AVENIDA ESTACION FERROCARRIL. S/N";41640;"Osuna";"Sevilla";"España"
1009;"PEDRERA";"37.2223527";"-4.893696";"CALLE MANUEL ARANDA. 3";41566;"Pedrera";"Sevilla";"España"
2002;"PUENTE GENIL-HERRERA";"37.3597116";"-4.8221946";"CARRETERA A-318 - KM. 9 - ENTRE LOS PUEBLOS DE PUENTE GENIL (CËRDOBA) Y HERRERA (SEVILLA)";14500;"Puente Genil";"Córdoba";"España"
2003;"ANTEQUERA-SANTA ANA";"37.0702806";"-4.7190304";"CARRETERA MA-5406 - ESTACION FERROCARRIL. S/N";29540;"Antequera";"Málaga";"España"
3001;"MENGIBAR-ARTICHUELA";"37.9778433";"-3.8019294";"CALLE CAMINO ESTACION FERROCARRIL. S/N";23620;"Mengíbar";"Jaén";"España"
3100;"JAEN";"37.7800495";"-3.7908847";"PLAZA DE JAEN POR LA PAZ. 1";23007;"Jaén";"Jaén";"España"
3208;"CUENCA FERNANDO ZOBEL";"40.0352819";"-2.1441378";"AVENIDA CERRO DE LA ESTRELLA. S/N - N-320 - CIRCUNVALACION DE CUENCA";16004;"Cuenca";"Cuenca";"España"
3213;"REQUENA-UTIEL";"39.5217269";"-1.1346669";"AUTOVIA A3 - SALIDA 285";46340;"Requena";"Valencia/Valéncia";"España"
3216;"VALENCIA JOAQUIN SOROLLA";"39.4600028";"-0.3813222";"CALLE SAN VICENTE MARTIR. 171";46007;"Valencia";"Valencia/Valéncia";"España"
3309;"VILLENA ALTA VELOCIDAD";"38.5846082";"-0.8734737";"PARTIDA DE SAN JUAN. 182";3400;"Villena";"Alicante/Alacant";"España"
4007;"GUADALAJARA-YEBES";"40.5879523";"-3.1249541";"CARRETERA N-320 SACEDON-CUENCA. KM 268";19000;"Guadalajara";"Guadalajara";"España"
4104;"CAMP DE TARRAGONA";"41.1921826";"1.273878";"CALLE MAS L HEREUET. S/N";43765;"Tarragona";"Tarragona";"España"
4307;"FIGUERES-VILAFANT";"42.2575697";"2.94513";"AVINGUDA PUIG GRAU. S/N";17740;"Figueres";"Girona";"España"
5000;"GRANADA";"37.1840355";"-3.6090357";"AVENIDA DE LOS ANDALUCES. S/N";18014;"Granada";"Granada";"España"
5013;"LOJA-SAN FRANCISCO";"37.174921";"-4.149528";"PLAZA ESTACION FERROCARRIL. 56";18300;"Loja";"Granada";"España"
5019;"ANTEQUERA";"37.0281836";"-4.5609649";"BARRIADA ESTACION. S/N";29200;"Antequera";"Málaga";"España"
8004;"SEGOVIA-GUIOMAR";"40.9101867";"-4.0948827";"PASEO CAMPOS DE CASTILLA. S/N";40006;"Segovia";"Segovia";"España"
8223;"VIGO URZAIZ";"42.2344784";"-8.7130987";"PLAZA ESTACION FERROCARRIL. S/N";36201;"Vigo";"Pontevedra";"España"
8224;"REDONDELA-AV";"42.284533";"-8.603713";"ESTRADA DE PAZOS. 10";36818;"Redondela";"Pontevedra";"España"
8240;"MEDINA DEL CAMPO A.V.";"41.2914";"-4.9227";"CARRETERA VP-8904 DE LAS SALINAS. KM 1.500";47400;"Medina del Campo";"Valladolid";"España"
10204;"ZARZALEJO";"40.5388169";"-4.1580731";"CALLE DEL FERROCARRIL. S/N";28293;"Zarzalejo";"Madrid";"España"
10205;"ROBLEDO DE CHAVELA";"40.5207512";"-4.2467712";"AVENIDA ESTACION FERROCARRIL. S/N";28294;"Robledo de Chavela";"Madrid";"España"
10206;"SANTA MARIA DE LA ALAMEDA-PEGUERINOS";"40.5689814";"-4.2691278";"CALLE DOCE DE OCTUBRE. S/N";28296;"Santa María de la Alameda";"Madrid";"España"
10207;"LAS NAVAS DEL MARQUES";"40.5892572";"-4.3614434";"AVENIDA ESTACION FERROCARRIL. S/N";5230;"Navas del Marqués. Las";"Ávila";"España"
10208;"NAVALPERAL";"40.5909526";"-4.4086162";"AVENIDA ESTACION FERROCARRIL. S/N";5240;"Navalperal de Pinares";"Ávila";"España"
10209;"EL PIMPOLLAR";"40.5677042";"-4.2831457";"CALLE ESTACION FERROCARRIL. S/N";28296;"Santa María de la Alameda";"Madrid";"España"
10300;"HERRADON-LA CAÑADA";"40.599334";"-4.4950318";"AVENIDA ESTACION FERROCARRIL. S/N";5294;"Herradón de Pinares";"Ávila";"España"
10302;"GUIMORCONDO";"40.6490138";"-4.6150234";"AVENIDA ESTACION FERROCARRIL. S/N";5004;"Tornadizos de Ávila";"Ávila";"España"
10400;"AVILA";"40.657203";"-4.683319";"PASEO ESTACION FERROCARRIL. S/N";5001;"Ávila";"Ávila";"España"
10409;"AREVALO";"41.0471235";"-4.7019727";"CALLE DEPOSITO. S/N";5200;"Arévalo";"Ávila";"España"
10500;"MEDINA DEL CAMPO";"41.3172763";"-4.9096181";"AVENIDA ESTACION FERROCARRIL. 27";47400;"Medina del Campo";"Valladolid";"España"
10501;"POZALDEZ";"41.3673544";"-4.8360354";"CALLE ESTACION FERROCARRIL. S/N";47220;"Pozaldez";"Valladolid";"España"
10502;"MATAPOZUELOS";"41.4219131";"-4.8013828";"CALLE CAMINO ESTACION FERROCARRIL. S/N";47230;"Matapozuelos";"Valladolid";"España"
10503;"VALDESTILLAS";"41.4887255";"-4.7729556";"AVENIDA VALLADOLID. S/N";47240;"Valdestillas";"Valladolid";"España"
10504;"VIANA";"41.5240754";"-4.7545409";"CALLE ESTACION FERROCARRIL. S/N";47150;"Viana de Cega";"Valladolid";"España"
10600;"VALLADOLID-CAMPO GRANDE";"41.6422174";"-4.7269748";"CALLE RECONDO. S/N";47007;"Valladolid";"Valladolid";"España"
10602;"CABEZON DEL PISUERGA";"41.7372984";"-4.6513243";"CALLE ESTACION FERROCARRIL. S/N";47260;"Cabezón de Pisuerga";"Valladolid";"España"
10603;"CORCOS-AGUILAREJO";"41.7663972";"-4.6233663";"CAMINO ESTACION FERROCARRIL. S/N";47281;"Corcos";"Valladolid";"España"
10604;"CUBILLAS DE SANTA MARTA";"41.8089815";"-4.5796172";"CALLE CAMINO DEL APEADERO. S/N";47290;"Cubillas de Santa Marta";"Valladolid";"España"
10605;"DUEÑAS";"41.8712672";"-4.5407883";"CALLE ESTACION FERROCARRIL. 7";34210;"Dueñas";"Palencia";"España"
10610;"VALLADOLID UNIVERSIDAD";"41.6603";"-4.704194";"CARRETERA JUAN CARLOS I. S/N";47011;"Valladolid";"Valladolid";"España"
11000;"VENTA DE BAÑOS";"41.9168511";"-4.4962752";"CALLE LINEA FERROCARRIL. 3 - 7";34200;"Venta de Baños";"Palencia";"España"
37402;"CASTUERA";"38.7349783";"-5.5417826";"CALLE ALEMANIA. 10";6420;"Castuera";"Badajoz";"España"
11004;"MAGAZ";"41.9765365";"-4.4320888";"AVENIDA VIRGEN DE VILLAVERDE. S/N";34220;"Magaz de Pisuerga";"Palencia";"España"
11006;"QUINTANA DEL PUENTE";"42.0800306";"-4.1985943";"CALLE ASELMO ARENILLAS. S/N";34250;"Quintana del Puente";"Palencia";"España"
11009;"VILLAQUIRAN";"42.2156539";"-3.9995055";"CARRETERA ESTACION FERROCARRIL. S/N";9118;"Villaquirán de los Infantes";"Burgos";"España"
11014;"BURGOS ROSA DE LIMA";"42.3706346";"-3.6661075";"AVENIDA PRINCIPE DE ASTURIAS. S/N";9006;"Burgos";"Burgos";"España"
11109;"BRIVIESCA";"42.5427537";"-3.3192126";"CALLE VIA FERREA. S/N";9240;"Briviesca";"Burgos";"España"
11111;"PANCORBO";"42.6302302";"-3.1129697";"CALLE ESTACION FERROCARRIL. 2";9280;"Pancorbo";"Burgos";"España"
11200;"MIRANDA DE EBRO";"42.6907532";"-2.9411199";"PLAZA ESTACION FERROCARRIL. S/N";9200;"Miranda de Ebro";"Burgos";"España"
11203;"MANZANOS";"42.7428754";"-2.8675305";"RIO ZADORRA KALEA. S/N";1220;"Ribera Baja/Erribera Beitia";"Araba/Álava";"España"
11204;"LA PUEBLA DE ARGANZON";"42.7652437";"-2.8303429";"CALLE ESTACION FERROCARRIL. S/N";9294;"Condado de Treviño";"Burgos";"España"
11205;"NANCLARES-LANGRAIZ";"42.8162344";"-2.8049335";"LA ESTACION KALEZ. S/N";1230;"Iruña Oka/Iruña de Oca";"Araba/Álava";"España"
11208;"VITORIA/GASTEIZ";"42.8415284";"-2.6726651";"PLAZUELA DE LA ESTACION. 1";1005;"Vitoria-Gasteiz";"Araba/Álava";"España"
11210;"ALEGRIA-DULANTZI";"42.8488289";"-2.5145516";"CALLE ESTACION FERROCARRIL. S/N";1240;"Alegría-Dulantzi";"Araba/Álava";"España"
11212;"AGURAIN/SALVATIERRA DE ALAVA";"42.8464369";"-2.3892266";"TREBIÑO KALEA. S/N";1200;"Salvatierra/Agurain";"Araba/Álava";"España"
11213;"ARAIA";"42.8694713";"-2.3068018";"CALLE ESTACION FERROCARRIL. S/N";1208;"Arraia-Maeztu";"Araba/Álava";"España"
11300;"ALTSASU";"42.8948377";"-2.1812049";"CALLE ESTACION FERROCARRIL. S/N";31800;"Altsasu/Alsasua";"Navarra";"España"
11602;"HENDAYA";"43.3523863";"-1.7825502";"BOULEVARD DU GENERAL DE GAULLE. S/N";;"HENDAYA";;"Francia"
12007;"TABLADA";"40.7056575";"-4.1253575";"AVENIDA VALLE DEL GUADARRAMA. S/N";28480;"Guadarrama";"Madrid";"España"
12008;"GUDILLOS";"40.7169045";"-4.157703";"CAMINO DE GUDILLOS. S/N";40400;"Espinar. El";"Segovia";"España"
12009;"SAN RAFAEL";"40.7149439";"-4.1813829";"BARRIO DE SAN RAFAEL. S/N";40410;"Espinar. El";"Segovia";"España"
12010;"EL ESPINAR";"40.7408315";"-4.1895156";"CALLE ESTACION FERROCARRIL. S/N";40400;"Espinar. El";"Segovia";"España"
12011;"LOS ANGELES DE SAN RAFAEL";"40.778532";"-4.2073718";"URBANIZACION LOS ANGELES DE SAN RAFAEL. S/N";40424;"Otero de Herreros";"Segovia";"España"
12012;"OTERO-HERREROS";"40.8009154";"-4.2035564";"BARRIO ESTACION FERROCARRIL. S/N";40422;"Otero de Herreros";"Segovia";"España"
12013;"ORTIGOSA DEL MONTE";"40.8327459";"-4.1685099";"AVENIDA ESTACION FERROCARRIL. S/N";40421;"Ortigosa del Monte";"Segovia";"España"
12014;"NAVAS DE RIOFRIO-LA LOSA";"40.8566626";"-4.1410906";"CALLE ESTACION FERROCARRIL. S/N";40420;"Navas de Riofrío";"Segovia";"España"
12100;"SEGOVIA";"40.934241";"-4.113537";"CALLE OBISPO QUESADA. 1";40006;"Segovia";"Segovia";"España"
14100;"PALENCIA";"42.015584";"-4.534037";"CALLE ESTACION DEL NORTE. 5";34005;"Palencia";"Palencia";"España"
14101;"MONZON DE CAMPOS";"42.1055551";"-4.5016744";"CALLE ESTACION DE FERROCARRIL. S/N";34410;"Monzón de Campos";"Palencia";"España"
14102;"AMUSCO";"42.1781783";"-4.4804909";"CARRETERA P-983 - ESTACION FERROCARRIL. S/N";34420;"Amusco";"Palencia";"España"
14103;"PIÑA";"42.2117274";"-4.4345791";"CALLE ESTACION FERROCARRIL. S/N";34430;"Piña de Campos";"Palencia";"España"
14104;"FROMISTA";"42.264858";"-4.402452";"CALLE LAS HUESAS. S/N";34440;"Frómista";"Palencia";"España"
14107;"OSORNO";"42.4151581";"-4.3573484";"AVENIDA CALVO SOTELO. S/N";34460;"Osorno la Mayor";"Palencia";"España"
14108;"ESPINOSA DE VILLAGONZALO";"42.478955";"-4.374475";"CALLE APEADERO. S/N";34491;"Espinosa de Villagonzalo";"Palencia";"España"
14111;"HERRERA DEL PISUERGA";"42.5986861";"-4.3165333";"CARRETERA C-627 - ESTACION DE FERROCARRIL. S/N";34400;"Herrera de Pisuerga";"Palencia";"España"
14112;"ALAR DEL REY";"42.6568658";"-4.311367";"CALLE ESTACION FERROCARRIL. S/N";34480;"Alar del Rey";"Palencia";"España"
14113;"MAVE";"42.7234326";"-4.2755773";"PLAZA ESTACION FERROCARRIL. S/N";34492;"Aguilar de Campoo";"Palencia";"España"
14114;"AGUILAR DE CAMPOO";"42.785252";"-4.2338473";"BARRIO ESTACION FERROCARRIL. 18 - 19";34800;"Aguilar de Campoo";"Palencia";"España"
14115;"QUINTANILLA DE LAS TORRES";"42.818975";"-4.2026884";"CALLE ESTACION FERROCARRIL. S/N";34811;"Pomar de Valdivia";"Palencia";"España"
14117;"EL CARRION";"42.116362";"-4.496319";"CALLE CAMINO BECERRIL. S/N";34410;"Monzón de Campos";"Palencia";"España"
15001;"GRIJOTA";"42.0499031";"-4.5847811";"PASEO ESTACION FERROCARRIL. S/N";34192;"Grijota";"Palencia";"España"
15003;"BECERRIL";"42.1047567";"-4.6470894";"CARRETERA P-953 - ESTACION FERROCARRIL. S/N";34310;"Becerril de Campos";"Palencia";"España"
15004;"PAREDES DE NAVA";"42.1507267";"-4.697486";"AVENIDA BERRUGUETE. 38";34300;"Paredes de Nava";"Palencia";"España"
15006;"CISNEROS";"42.1910681";"-4.8502058";"CARRETERA P-932 - ESTACION FERROCARRIL. S/N";34320;"Cisneros";"Palencia";"España"
15007;"VILLADA";"42.2452341";"-4.9705373";"CALLE ESTACION NORTE. S/N";34340;"Villada";"Palencia";"España"
15008;"GRAJAL";"42.3231962";"-5.0133741";"CALLE ESTACION FERROCARRIL. S/N";24340;"Grajal de Campos";"León";"España"
15009;"SAHAGUN";"42.3693361";"-5.0226545";"CALLE TRAS ESTACION. S/N";24320;"Sahagún";"León";"España"
15012;"EL BURGO RANERO";"42.4257649";"-5.2084815";"CALLE SENDA ESTACION FERROCARRIL. S/N";24343;"Burgo Ranero. El";"León";"España"
15014;"SANTAS MARTAS";"42.4599988";"-5.3866323";"CALLE ESTACION FERROCARRIL. 10-16";24330;"Santas Martas";"León";"España"
15015;"PALANQUINOS";"42.4606633";"-5.4974771";"PLAZA SANTA RITA. 10";24225;"Villanueva de las Manzanas";"León";"España"
15100;"LEON";"42.595994";"-5.5826161";"CALLE ASTORGA. S/N";24009;"León";"León";"España"
15106;"LA ROBLA";"42.8039955";"-5.6263925";"CALLE GORDON ORDAS. 30";24640;"Robla. La";"León";"España"
15108;"LA POLA DE GORDON";"42.854015";"-5.674606";"CALLE CAPITAN LOZANO. 7";24600;"Pola de Gordón. La";"León";"España"
15109;"SANTA LUCIA";"42.8749243";"-5.6397212";"CALLE REINO DE LEON. 1";24650;"Pola de Gordón. La";"León";"España"
15112;"VILLAMANIN";"42.9367014";"-5.6576852";"CALLE ESTACION FERROCARRIL. 5";24680;"Villamanín";"León";"España"
15113;"BUSDONGO";"42.9844961";"-5.7053997";"CARRETERA N-630 - ESTACION FERROCARRIL. 1";24690;"Villamanín";"León";"España"
15116;"LINARES-CONGOSTINAS";"43.101767";"-5.772133";"CAMINO ASPR-92 - ESTACION FERROCARRIL. S/N";33694;"Lena";"Asturias";"España"
20002;"QUINTANA-RANEROS";"42.5500687";"-5.6377276";"CALLE GUZMAN EL BUENO. S/N";24391;"Santovenia de la Valdoncina";"León";"España"
20005;"VEGUELLINA";"42.433562";"-5.887601";"PASEO ESTACION FERROCARRIL. 34";24350;"Villarejo de Órbigo";"León";"España"
20006;"BARRIENTOS";"42.414221";"-5.9639231";"CALLE SANTA ANA. 20";24394;"Valderrey";"León";"España"
20007;"NISTAL";"42.4244463";"-6.0080164";"CALLE ANTONIO ACEÑA. 21";24395;"San Justo de la Vega";"León";"España"
20008;"VILLABANTE";"42.4645614";"-5.8388884";"CALLE EL PALACIO. 32";24393;"Santa Marina del Rey";"León";"España"
20100;"ASTORGA";"42.4594174";"-6.0471732";"AVENIDA ESTACION FERROCARRIL. S/N";24700;"Astorga";"León";"España"
20102;"VEGA-MAGAZ";"42.5531716";"-6.067997";"CALLE CAMINO ESTACION FERROCARRIL. S/N";24396;"Magaz de Cepeda";"León";"España"
20103;"PORQUEROS";"42.598974";"-6.108328";"CALLE ESTACION FERROCARRIL. 5";24397;"Magaz de Cepeda";"León";"España"
20104;"BRAÑUELAS";"42.632623";"-6.2010116";"TRAVESIA FANAL. 5";24360;"Villagatón";"León";"España"
20106;"LA GRANJA";"42.606841";"-6.294966";"AVENIDA SAN VICENTE. S/N";24378;"Torre del Bierzo";"León";"España"
20109;"TORRE DEL BIERZO";"42.595497";"-6.3289094";"PASEO ESTACION FERROCARRIL. S/N";24370;"Torre del Bierzo";"León";"España"
20111;"BEMBIBRE";"42.6095787";"-6.4222006";"CALLE SUSANA GONZALEZ. 56";24300;"Bembibre";"León";"España"
20113;"SAN MIGUEL DE LAS DUEÑAS";"42.5864103";"-6.5237647";"CALLE ESTACION FERROCARRIL. 34";24398;"Congosto";"León";"España"
20200;"PONFERRADA";"42.545398";"-6.602382";"AVENIDA DEL FERROCARRIL. 15";24400;"Ponferrada";"León";"España"
20203;"VILLADEPALOS";"42.5368908";"-6.751069";"CALLE CAMINO DEL APEADERO. S/N";24565;"Carracedelo";"León";"España"
20204;"TORAL DE LOS VADOS";"42.541061";"-6.7765649";"PLAZA ESTACION FERROCARRIL. S/N";24560;"Toral de los Vados";"León";"España"
20207;"COVAS";"42.475285";"-6.830882";"CALLE ESTACION FERROCARRIL. S/N";32141;"Rubiá";"Ourense";"España"
20208;"QUEREÑO";"42.4207086";"-6.8295034";"RUA DA ESTACION. S/N";32320;"Rubiá";"Ourense";"España"
20210;"SOBRADELO";"42.4148488";"-6.9119341";"CARRETERA DE ENTOMA - ESTACION FERROCARRIL. S/N";32330;"Carballeda de Valdeorras";"Ourense";"España"
20211;"O BARCO DE VALDEORRAS";"42.4182266";"-6.9850514";"AVENIDA ESTACION FERROCARRIL. S/N";32300;"Barco de Valdeorras. O";"Ourense";"España"
20212;"VILAMARTIN DE VALDEORRAS";"42.4115712";"-7.061442";"PLAZA MIGUEL ESTEVEZ. S/N";32340;"Vilamartín de Valdeorras";"Ourense";"España"
20213;"A RUA-PETIN";"42.3926731";"-7.1132567";"RUA CIRCUNVALACION. S/N";32350;"Rúa. A";"Ourense";"España"
20214;"MONTEFURADO";"42.3937465";"-7.194573";"CALLE SAN MIGUEL MONTEF. 4";27390;"Quiroga";"Lugo";"España"
20216;"SAN CLODIO-QUIROGA";"42.465255";"-7.287173";"RUA DO FERROCARRIL. 31";27310;"Ribas de Sil";"Lugo";"España"
20218;"POBRA DE BROLLON";"42.5337515";"-7.4001532";"AVENIDA DA POBRA. S/N";27331;"Pobra do Brollón. A";"Lugo";"España"
20300;"MONFORTE DE LEMOS";"42.5295972";"-7.5034723";"PRAZA DA ESTACION. S/N";27400;"Monforte de Lemos";"Lugo";"España"
20305;"SARRIA";"42.7841346";"-7.4188404";"RUA RAMON CABANILLAS. 6";27600;"Sarria";"Lugo";"España"
20306;"PEDRELO-CELTIGOS";"42.832904";"-7.3933761";"CALLE CELTIGOS. 84";27617;"Sarria";"Lugo";"España"
20309;"LUGO";"43.0150666";"-7.5521368";"PLAZA DE CONDE FONTAO. S/N";27003;"Lugo";"Lugo";"España"
20310;"RABADE";"43.121342";"-7.6247063";"PRAZA DE ESPAÑA. 23";27370;"Rábade";"Lugo";"España"
20312;"BAAMONDE";"43.1734198";"-7.7563639";"CALLE ESTACION FERROCARRIL. 8";27371;"Begonte";"Lugo";"España"
